City_ID,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
0,xining,36.6167,101.7667,-8.8,90,100,0.74,CN,1707157951
1,tumut,-35.3,148.2167,19.63,95,100,1.31,AU,1707157952
2,east london,-33.0153,27.9116,23.52,83,0,2.06,ZA,1707157952
3,grytviken,-54.2811,-36.5092,8.38,64,64,5.63,GS,1707157952
4,georgetown,5.4112,100.3354,28.97,78,20,3.09,MY,1707157717
5,tiksi,71.6872,128.8694,-32.79,97,75,0.92,RU,1707157953
6,waitangi,-43.9535,-176.5597,17.68,93,98,2.24,NZ,1707157953
7,taichung,24.1469,120.6839,17.28,83,75,3.6,TW,1707157953
8,albany,42.6001,-73.9662,3.66,46,4,1.79,US,1707157953
9,vila franca do campo,37.7167,-25.4333,18.27,99,55,5.21,PT,1707157954
10,edinburgh of the seven seas,-37.0676,-12.3116,16.0,62,0,2.48,SH,1707157954
11,port augusta,-32.5,137.7667,16.05,59,0,9.28,AU,1707157955
12,gadzhiyevo,69.2551,33.3362,-19.16,100,98,2.49,RU,1707157955
13,malango,-2.9627,119.9001,20.29,95,100,1.07,ID,1707157955
14,avarua,-21.2078,-159.775,28.03,83,20,6.17,CK,1707157955
15,san luis de la loma,17.2706,-100.8939,29.21,57,0,4.38,MX,1707157956
16,adamstown,-25.066,-130.1015,23.39,86,100,8.97,PN,1707157956
17,ushuaia,-54.8,-68.3,14.81,51,90,4.63,AR,1707157697
18,inhambane,-23.865,35.3833,27.99,83,40,2.06,MZ,1707157956
19,nova sintra,14.8667,-24.7167,21.4,67,0,4.67,CV,1707157956
20,port saint john's,-31.6229,29.5448,23.37,95,0,1.59,ZA,1707157957
21,hilo,19.7297,-155.09,20.71,95,100,3.09,US,1707157800
22,iqaluit,63.7506,-68.5145,-20.15,77,100,1.03,CA,1707157957
23,port shepstone,-30.7414,30.455,23.91,90,12,6.03,ZA,1707157958
24,papatowai,-46.5619,169.4708,18.6,62,100,4.63,NZ,1707157958
25,kristiansund,63.1115,7.732,-1.64,93,100,2.06,NO,1707157958
26,geiro,-6.15,36.8667,17.97,93,100,1.12,TZ,1707157958
27,la passe,45.5549,-0.8967,7.21,85,100,0.67,FR,1707157959
28,puerto ayora,-0.7393,-90.3518,27.98,90,72,3.13,EC,1707157959
29,port-aux-francais,-49.35,70.2167,6.02,84,99,13.0,TF,1707157959
30,kourou,5.1552,-52.6478,31.03,69,72,4.61,GF,1707157959
31,utrik,11.2278,169.8474,26.41,82,14,8.86,MH,1707157960
32,petropavlovsk-kamchatsky,53.0452,158.6483,-11.67,77,75,4.02,RU,1707157845
33,guerrero negro,27.9769,-114.0611,18.53,55,99,2.9,MX,1707157960
34,margaret river,-33.95,115.0667,12.4,90,80,3.89,AU,1707157960
35,invercargill,-46.4,168.35,20.01,67,100,5.81,NZ,1707157961
36,novoishimskiy,53.1981,66.7694,0.55,97,100,9.64,KZ,1707157961
37,atherton,53.5237,-2.4935,11.83,78,100,1.79,GB,1707157961
38,prineville,44.2999,-120.8345,7.47,71,75,9.26,US,1707157961
39,hasaki,35.7333,140.8333,2.94,73,100,11.31,JP,1707157962
40,nouadhibou,20.931,-17.0347,28.99,17,0,2.06,MR,1707157962
41,bay roberts,47.5999,-53.2648,3.06,97,100,2.68,CA,1707157962
42,wellington,-41.2866,174.7756,18.37,85,100,10.8,NZ,1707157911
43,nadi,-17.8,177.4167,25.0,94,40,1.03,FJ,1707157963
44,bredasdorp,-34.5322,20.0403,22.62,71,0,3.4,ZA,1707157963
45,puerto natales,-51.7236,-72.4875,15.25,44,40,10.29,CL,1707157956
46,longyearbyen,78.2186,15.6401,-3.09,68,75,3.6,SJ,1707157963
47,lihue,21.9789,-159.3672,22.42,69,100,11.32,US,1707157963
48,punta arenas,-53.15,-70.9167,14.06,47,20,12.86,CL,1707157964
49,madera,37.1666,-119.8343,16.42,71,100,4.61,US,1707157964
50,meadow lake,34.8014,-106.5436,12.2,37,100,0.77,US,1707157964
51,reggane,26.7158,0.1714,18.67,18,53,4.18,DZ,1707157964
52,al miqdadiyah,33.9786,44.9369,14.66,51,100,3.05,IQ,1707157965
53,jamestown,42.097,-79.2353,1.4,85,100,4.63,US,1707157835
54,remire-montjoly,4.9167,-52.2667,31.02,70,40,6.17,GF,1707157965
55,flin flon,54.7682,-101.865,-0.09,100,100,2.57,CA,1707157965
56,port lincoln,-34.7333,135.8667,14.67,67,0,5.07,AU,1707157965
57,kill devil hills,36.0307,-75.676,9.43,74,40,7.2,US,1707157966
58,oban,56.4127,-5.4706,9.1,95,100,3.91,GB,1707157966
59,port macquarie,-31.4333,152.9167,21.61,89,100,5.12,AU,1707157966
60,college,64.8569,-147.8028,-23.08,74,20,0.0,US,1707157967
61,caleta de carquin,-11.0925,-77.6267,26.66,69,29,4.34,PE,1707157967
62,hermanus,-34.4187,19.2345,21.56,83,0,3.82,ZA,1707157967
63,yeniseysk,58.4497,92.1703,-5.03,93,100,3.13,RU,1707157967
64,aketi,2.7388,23.7833,29.35,32,100,1.27,CD,1707157968
65,kailua-kona,19.6406,-155.9956,24.72,70,20,3.6,US,1707157922
66,glace bay,46.1969,-59.957,1.26,98,100,7.2,CA,1707157799
67,praia da vitoria,38.7333,-27.0667,19.14,88,40,8.66,PT,1707157968
68,choyr,46.3611,108.3611,-22.34,88,10,2.55,MN,1707157969
69,port mathurin,-19.6833,63.4167,26.29,67,19,7.46,MU,1707157969
70,el nido,11.1858,119.3956,26.21,79,76,3.43,PH,1707157969
71,chonchi,-42.6128,-73.8092,23.95,48,36,3.52,CL,1707157969
72,chegdomyn,51.1167,133.0167,-31.88,100,100,0.75,RU,1707157970
73,puerto baquerizo moreno,-0.9,-89.6,30.55,66,40,5.14,EC,1707157970
74,enewetak,11.3474,162.3373,26.32,75,99,9.52,MH,1707157970
75,carolina beach,34.0352,-77.8936,16.12,53,100,9.88,US,1707157970
76,holualoa,19.6228,-155.9522,23.21,71,20,3.6,US,1707157971
77,dyurtyuli,55.4911,54.8688,-2.4,90,100,5.51,RU,1707157971
78,kendari,-3.945,122.4989,23.81,94,100,0.72,ID,1707157971
79,uturoa,-16.7333,-151.4333,27.81,83,100,9.63,PF,1707157971
80,llanes,43.4198,-4.7549,12.28,85,100,1.49,ES,1707157972
81,lompoc,34.6391,-120.4579,16.4,64,100,3.09,US,1707157875
82,arraial do cabo,-22.9661,-42.0278,31.98,70,0,6.17,BR,1707157973
83,thompson,55.7435,-97.8558,-1.91,93,100,1.03,CA,1707157973
84,sao borja,-28.6606,-56.0044,34.41,37,100,3.76,BR,1707157973
85,shimoda,34.6667,138.95,5.06,87,100,7.34,JP,1707157974
86,mount pearl,47.5166,-52.7813,2.4,96,100,5.14,CA,1707157959
87,fisterra,42.9049,-9.2629,12.64,79,100,2.55,ES,1707157975
88,ribeira brava,32.65,-17.0667,21.67,60,100,4.57,PT,1707157976
89,stanley,54.868,-1.6985,10.77,79,75,10.29,GB,1707157835
90,bintulu,3.1667,113.0333,25.23,94,20,0.0,MY,1707157976
91,atafu village,-8.5421,-172.5159,28.43,80,100,11.29,TK,1707157977
92,bethel,41.3712,-73.414,7.72,45,0,3.6,US,1707157748
93,weno,7.4515,151.8468,27.97,78,75,4.12,FM,1707157977
94,tash-kumyr,41.3461,72.2171,0.64,65,100,2.3,KG,1707157978
95,san julian,21.0167,-102.1667,21.59,10,0,4.23,MX,1707157978
96,udachny,66.4167,112.4,-22.53,83,100,2.12,RU,1707157978
97,maceio,-9.6658,-35.7353,31.69,66,75,6.69,BR,1707157979
98,murghob,38.1702,73.9667,-21.12,76,49,2.79,TJ,1707157979
99,thunder bay,48.4001,-89.3168,3.99,81,100,2.06,CA,1707157702
100,kapa'a,22.0752,-159.319,22.83,69,100,11.32,US,1707157979
101,inari,68.906,27.0288,-23.89,100,100,1.24,FI,1707157979
102,vernon,50.2581,-119.2691,1.53,84,100,0.51,CA,1707157980
103,luderitz,-26.6481,15.1594,20.0,84,0,5.62,NA,1707157981
104,puerto maldonado,-12.6,-69.1833,32.22,66,75,1.03,PE,1707157970
105,dudinka,69.4058,86.1778,-16.85,90,96,4.02,RU,1707157981
106,talnakh,69.4865,88.3972,-22.97,91,85,2.21,RU,1707157981
107,san fernando de apure,7.8878,-67.4724,34.53,42,100,1.94,VE,1707157982
108,cole harbour,44.6724,-63.4751,2.2,89,100,7.72,CA,1707157982
109,bubaque,11.2833,-15.8333,26.39,75,0,6.64,GW,1707157982
110,olonkinbyen,70.9221,-8.7187,-1.83,94,88,6.52,SJ,1707157982
111,blackmans bay,-43.0167,147.3167,11.07,76,39,1.79,AU,1707157983
112,port lavaca,28.615,-96.6261,16.03,73,100,8.23,US,1707157983
113,rio grande,-32.035,-52.0986,29.06,76,49,5.06,BR,1707157983
114,ouargaye,11.5033,0.0572,28.85,11,100,5.57,BF,1707157983
115,amasra,41.7463,32.3863,11.76,76,100,7.21,TR,1707157984
116,bamboo flat,11.7,92.7167,24.05,88,2,1.03,IN,1707157984
117,malanje,-9.5402,16.341,19.0,93,49,1.29,AO,1707157984
118,juneau,58.3019,-134.4197,1.17,97,100,1.54,US,1707157911
119,xilin hot,43.9667,116.0333,-14.13,96,99,2.33,CN,1707157984
120,usogorsk,63.4106,48.6872,-20.19,97,51,2.6,RU,1707157985
121,yellowknife,62.456,-114.3525,-21.99,82,20,3.09,CA,1707157985
122,al qusayr,34.5091,36.5798,9.14,75,20,3.18,SY,1707157986
123,isafjordur,66.0755,-23.124,-6.98,68,75,7.2,IS,1707157986
124,dalby,-27.1833,151.2667,21.74,86,100,4.21,AU,1707157935
125,santa cruz de tenerife,28.4682,-16.2546,23.18,78,0,2.57,ES,1707157906
126,nurota,40.5614,65.6886,5.8,55,80,7.45,UZ,1707157986
127,coquimbo,-29.9533,-71.3436,22.85,68,20,7.2,CL,1707157987
128,anadyr,64.75,177.4833,-26.72,76,40,9.0,RU,1707157987
129,tambura,5.6,27.4667,27.13,33,85,3.8,SS,1707157987
130,wailua homesteads,22.0669,-159.378,22.08,69,100,11.32,US,1707157987
131,quellon,-43.1167,-73.6167,18.68,63,30,5.5,CL,1707157899
132,hobyo,5.3505,48.5268,26.53,77,100,6.89,SO,1707157988
133,shingu,33.7333,135.9833,4.55,84,19,4.43,JP,1707157988
134,arteche,12.2645,125.4048,25.13,89,100,4.71,PH,1707157988
135,ustrzyki dolne,49.4304,22.5938,6.56,93,100,7.1,PL,1707157989
136,bilibino,68.0546,166.4372,-23.94,100,98,1.78,RU,1707157957
137,west island,-12.1568,96.8225,27.99,83,75,3.09,CC,1707157989
138,qaqortoq,60.7167,-46.0333,-16.31,69,0,1.62,GL,1707157762
139,port elizabeth,-33.918,25.5701,21.84,92,100,3.6,ZA,1707157990
140,jijiga,9.35,42.8,16.89,68,18,4.08,ET,1707157990
141,constantia,44.1833,28.65,13.38,75,100,5.74,RO,1707157990
142,pailon,-17.65,-62.75,35.82,27,100,2.8,BO,1707157990
143,carupano,10.6678,-63.2585,32.64,51,13,6.18,VE,1707157991
144,happy valley-goose bay,53.3168,-60.3315,-10.83,67,75,1.03,CA,1707157838
145,tolanaro,-25.0319,46.9987,24.04,88,75,9.26,MG,1707157991
146,ust-nera,64.5667,143.2,-27.8,85,100,0.58,RU,1707157957
147,tual,-5.6667,132.75,28.76,74,100,7.54,ID,1707157992
148,tougue,11.4667,-11.6,26.43,15,0,1.74,GN,1707157992
149,kinablangan,7.6947,126.5503,24.85,84,100,1.85,PH,1707157992
150,al wajh,26.2455,36.4525,20.97,37,0,6.69,SA,1707157992
151,petauke,-14.2426,31.3253,20.56,88,11,1.21,ZM,1707157992
152,waddan,29.1614,16.139,13.56,51,0,2.36,LY,1707157993
153,fale old settlement,-9.3852,-171.2468,29.4,76,100,10.78,TK,1707157993
154,mount gambier,-37.8333,140.7667,10.17,81,7,1.78,AU,1707157852
155,nar'yan-mar,67.6713,53.087,-18.83,97,100,1.79,RU,1707157989
156,neya,58.2972,43.8681,-16.15,100,100,1.43,RU,1707157993
157,fremantle,-32.05,115.7667,21.05,49,10,6.17,AU,1707157967
158,arys,42.4252,68.795,1.56,71,81,2.61,KZ,1707157994
159,ribeira grande,38.5167,-28.7,18.22,94,75,8.05,PT,1707157967
160,bardai,11.65,7.2333,20.46,15,38,5.24,NG,1707157994
161,taoudenni,22.6783,-3.9836,22.8,9,96,4.12,ML,1707157995
162,badger,64.8,-147.5333,-23.13,78,20,0.0,US,1707157995
163,tura,25.5198,90.2201,16.32,55,100,0.66,IN,1707157995
164,polyarnyy,69.1989,33.4478,-19.54,100,99,2.23,RU,1707157960
165,yamada,39.4667,141.95,-0.09,72,100,3.4,JP,1707157996
166,waliso,8.5333,37.9833,14.89,84,34,1.72,ET,1707157996
167,chibougamau,49.9168,-74.3659,-6.21,73,0,1.54,CA,1707157946
168,celestun,20.8667,-90.4,24.16,53,0,10.36,MX,1707157996
169,brisas de zicatela,15.8369,-97.0419,28.29,69,20,3.6,MX,1707157997
170,pueblo nuevo,23.3833,-105.3833,25.91,8,0,0.94,MX,1707157997
171,sfizef,35.2346,-0.2444,17.72,41,100,1.34,DZ,1707157997
172,hawaiian paradise park,19.5933,-154.9731,19.39,95,100,3.09,US,1707157997
173,iskateley,67.6803,53.1512,-18.88,97,100,1.79,RU,1707157998
174,t'q'ibuli,42.3512,42.9987,3.51,99,100,2.14,GE,1707157998
175,ndjole,-0.1783,10.7649,25.92,91,100,1.18,GA,1707157999
176,ancud,-41.8697,-73.8203,17.51,78,82,6.74,CL,1707157999
177,namibe,-15.1961,12.1522,25.41,79,100,4.62,AO,1707157999
178,chamical,-30.36,-66.314,39.27,24,4,9.2,AR,1707158000
179,laguna,38.421,-121.4238,14.52,84,100,6.69,US,1707158000
180,abalak,58.1286,68.5944,-2.58,97,100,5.48,RU,1707158000
181,paphos,34.7667,32.4167,15.88,63,75,4.63,CY,1707158001
182,bac lieu,9.285,105.7244,24.85,87,19,3.52,VN,1707158001
183,makarov,48.6333,142.8,-17.88,93,16,1.61,RU,1707158001
184,afaahiti,-17.75,-149.2833,23.93,95,100,10.76,PF,1707158002
185,carnarvon,-24.8667,113.6333,27.65,37,11,8.88,AU,1707158002
186,tyukalinsk,55.8732,72.1967,0.29,90,100,9.01,RU,1707158002
187,lodeynoye pole,60.726,33.5531,-8.52,94,95,3.09,RU,1707158002
188,bandarbeyla,9.4942,50.8122,25.57,77,100,5.86,SO,1707158003
189,tobelo,1.7284,128.0095,25.54,85,100,2.75,ID,1707158003
190,al bayda',32.7627,21.7551,10.2,92,72,4.65,LY,1707158003
191,sabha,27.0377,14.4283,12.9,37,0,3.48,LY,1707158003
192,new norfolk,-42.7826,147.0587,11.72,78,93,1.22,AU,1707157960
193,colares,38.7992,-9.4469,16.55,86,0,3.13,PT,1707158004
194,minas de marcona,-15.2119,-75.1103,24.96,60,16,4.61,PE,1707158004
195,tralee,52.2704,-9.7026,11.14,87,40,8.23,IE,1707158004
196,azemmour,33.2895,-8.3425,15.82,74,100,2.42,MA,1707158005
197,faya-largeau,17.9257,19.1043,19.11,21,70,9.87,TD,1707158005
198,bodaybo,57.8506,114.1933,-14.97,93,100,0.78,RU,1707158005
199,haiku-pauwela,20.9219,-156.3051,21.13,75,20,8.94,US,1707158005
200,kaa-khem,51.6833,94.7333,-24.77,95,27,1.44,RU,1707158006
201,hamilton,39.1834,-84.5333,12.0,44,0,4.63,US,1707157899
202,sao vicente,-23.9631,-46.3919,34.1,40,20,2.57,BR,1707158006
203,palm valley,30.1775,-81.3876,15.14,85,100,6.77,US,1707158006
204,reshetylivka,49.565,34.0782,1.73,71,91,10.32,UA,1707158007
205,ebon,4.582,168.6964,28.04,70,100,8.09,MH,1707158007
206,gannan,47.9147,123.5031,-18.69,96,100,0.99,CN,1707158007
207,dzhalagash,45.0833,64.6667,-0.39,83,100,4.2,KZ,1707158008
208,saudarkrokur,65.7461,-19.6394,-8.24,83,100,4.96,IS,1707158008
209,revda,56.801,59.9303,-3.78,88,61,4.35,RU,1707158008
210,ust-tsilma,65.441,52.1498,-29.66,100,99,0.89,RU,1707158009
211,whitehorse,60.7161,-135.0538,-21.57,77,75,3.09,CA,1707157597
212,ambon,-3.6954,128.1814,26.16,15,75,1.03,ID,1707158009
213,corner brook,48.9667,-57.9484,0.09,92,100,6.98,CA,1707158009
214,harper,4.375,-7.7169,28.05,76,12,4.56,LR,1707158010
215,mirny,62.5353,113.9611,-21.54,100,98,1.16,RU,1707158010
216,gisborne,-38.6533,178.0042,17.5,70,0,2.66,NZ,1707157871
217,adigrat,14.277,39.462,15.83,68,80,1.23,ET,1707158011
218,darchula,29.8412,80.5287,8.67,89,46,1.05,NP,1707158011
219,st. john's,47.5649,-52.7093,2.86,96,100,5.14,CA,1707157946
220,colonia,50.9333,6.95,9.47,75,40,4.12,DE,1707157970
221,azna,33.6095,48.9307,0.57,86,100,2.84,IR,1707158011
222,columbia falls,48.3725,-114.1815,1.18,89,100,1.54,US,1707157974
223,banfora,10.6333,-4.7667,29.73,11,100,2.55,BF,1707158012
224,saint-martin-de-crau,43.6395,4.8127,11.88,81,0,2.06,FR,1707158012
225,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,51,8.4,RU,1707158012
226,chengde,40.9725,117.9361,-6.04,42,16,1.25,CN,1707158012
227,san patricio,28.017,-97.5169,19.97,54,70,7.97,US,1707158013
228,homer,59.6425,-151.5483,-3.06,80,100,0.0,US,1707158013
229,kingston,17.997,-76.7936,28.98,86,75,5.14,JM,1707157717
230,sarmiento,-45.5882,-69.07,28.08,12,2,9.58,AR,1707158013
231,chengdu,30.6667,104.0667,5.94,81,0,1.0,CN,1707158014
232,pariaman,-0.619,100.12,27.03,85,100,1.18,ID,1707158014
233,panambi,-28.2925,-53.5017,29.77,64,100,2.27,BR,1707158014
234,upington,-28.4478,21.2561,34.21,7,0,4.12,ZA,1707158014
235,betio village,1.358,172.9211,29.02,78,100,6.91,KI,1707158014
236,radhanpur,23.8333,71.6,20.49,54,1,1.42,IN,1707158015
237,durres,41.3231,19.4414,7.1,70,6,0.91,AL,1707158015
238,bonthe,7.5264,-12.505,27.55,75,0,4.68,SL,1707158015
239,pacific grove,36.6177,-121.9166,11.55,90,100,3.6,US,1707157829
240,dongola,19.1667,30.4833,16.63,15,99,5.61,SD,1707158016
241,along,28.1667,94.7667,11.75,98,100,0.63,IN,1707158016
242,kerikeri,-35.2268,173.9474,13.84,93,5,1.06,NZ,1707158016
243,selfoss,63.9331,-20.9971,-12.07,80,3,4.49,IS,1707158016
244,badou,7.5833,0.6,27.18,18,28,1.86,TG,1707158016
245,mount isa,-20.7333,139.5,25.87,94,100,1.03,AU,1707157842
246,touros,-5.1989,-35.4608,29.64,66,43,7.01,BR,1707158017
247,sinop,41.7711,34.8709,5.92,81,100,5.55,TR,1707158017
248,eirunepe,-6.6603,-69.8736,27.32,86,100,0.19,BR,1707158017
249,aasiaat,68.7098,-52.8699,-30.26,89,16,3.48,GL,1707158017
250,kalix,65.853,23.1565,-14.8,95,99,3.21,SE,1707158017
251,klyuchi,52.2667,79.1667,-7.6,86,75,4.5,RU,1707158018
252,svetlyy,54.675,20.1347,4.09,80,100,6.59,RU,1707158018
253,phumi veal sre,10.9808,104.7783,25.18,81,14,3.09,KH,1707158018
254,saint-leu,-21.15,55.2833,23.48,69,87,1.93,RE,1707158018
255,khilok,51.3674,110.4676,-21.43,97,7,1.17,RU,1707158019
256,egilsstadir,65.2653,-14.3948,-10.05,79,20,1.03,IS,1707157979
257,bikenibeu village,1.3673,173.1241,28.98,84,75,4.63,KI,1707158019
258,cuyo,10.8525,121.0086,26.36,83,92,7.13,PH,1707158019
259,whangarei,-35.7317,174.3239,14.78,92,22,0.82,NZ,1707158020
260,oyem,1.5995,11.5793,25.35,66,38,2.42,GA,1707158020
261,nelson bay,-32.7167,152.15,24.49,91,100,2.68,AU,1707158020
262,antofagasta,-23.65,-70.4,26.6,64,5,3.75,CL,1707157936
263,lagos,6.5833,3.75,32.18,40,31,2.75,NG,1707157800
264,kamalpur,24.2,91.8333,17.75,58,99,0.66,IN,1707158021
265,whitby,54.4877,-0.615,11.29,77,100,5.36,GB,1707158021
266,moyale,3.5167,39.0584,25.81,34,93,4.46,KE,1707158021
267,liberal,37.0431,-100.921,9.58,87,100,2.06,US,1707158022
268,chiroqchi,39.0336,66.5722,7.2,36,95,3.46,UZ,1707158022
269,acapulco de juarez,16.8634,-99.8901,29.9,54,0,2.06,MX,1707158022
270,prince rupert,54.3161,-130.3201,3.83,100,0,9.77,CA,1707158022
271,kuusamo,65.9667,29.1833,-15.98,85,75,3.09,FI,1707157765
272,minas de barroteran,27.6333,-101.2833,19.27,28,0,4.17,MX,1707158023
273,pindushi,62.9152,34.58,-14.5,95,100,2.81,RU,1707158023
274,novouzensk,50.4592,48.1431,0.0,97,100,7.15,RU,1707158023
275,fort bragg,35.139,-79.006,14.55,39,20,5.66,US,1707158023
276,ulladulla,-35.35,150.4667,22.09,96,100,2.99,AU,1707158024
277,san martin de los andes,-40.1604,-71.3486,23.14,50,58,4.92,AR,1707158024
278,howrah,22.5892,88.3103,21.0,83,0,3.09,IN,1707158024
279,rongelap,11.1635,166.8941,26.15,83,96,9.01,MH,1707158024
280,bereeda,11.8704,51.0579,25.44,77,10,2.98,SO,1707158025
281,ciudad lazaro cardenas,17.9583,-102.2,28.39,60,0,4.58,MX,1707158025
282,ha giang,22.8333,104.9833,19.75,98,44,1.27,VN,1707158025
283,tazovsky,67.4667,78.7,-24.96,100,41,3.56,RU,1707158025
284,yulinshi,38.2906,109.7494,-7.48,81,7,3.31,CN,1707158026
